"Review","Calificacion"
"Más comunicación, y que todo el personal este en la misma sintonía y más amabilidad por parte del personal........... El ferry es muy cómodo y limpio solo que siento que lo que les falta es buena comunicación por parte del personal en especial a una colaboradora que se llama Teresita Vázquez, ella da mala información, aparte siento que hay modos de como hablar ella fue muy grosera.","1"
"Pesimo servicio en facturación. He realizado cruce de Puerto Juarez a Isla Mujeres, intento facturar y la pagina no fuinciona correctamente, solicite apoyo por whatsapp, X, instagram, facebook, correo electronico , vía telefonia y nade puede resolver como generar una factura. Pesimo  servicio en facturación.","3"
"RECEPCIÔN PORQUERÍA POR SEÑORA KARINA ARCE. El servicio de recepción que la señora Karina Arce ofrece en módulo es una porquería, como persona tiene cero intenciones de hacer su único trabajo que es atender al público, demasiado elitista y poco servicial, no se interesa si quiera en escuchar, le importa poco mirarte con cara de asco y ni hablar de sus pocas y agresivas respuestas. Por otro lado, Jorge Moo y Joshelin Chio fueron sumamente comprensivos con la situación, pudimos dialogar y gracias a sus atenciones podría reconsiderar hacer uso del servicio, si fuera por Karina Arce la empresa se hunde al hoyo.","1"
"Transporte conveniente a Isla Mujeres. Tomó el ferry a Isla Mujeres para un día de playa en Playa Norte. El muelle de Playa Caracol estaba justo al lado de mi resort, IT era un acceso fácil para mí. Compre el boleto en línea o puede pagar $ 45 usd en el puerto ($ 7 usd tarifa de muelle). El ferry hará una parada en Playa Tortugas antes de la parada final en Isla Mujeres (alrededor de 35 minutos de viaje total). El proceso de embarque y el viaje fueron buenos. Playa Norte está a solo 12 minutos a pie de su muelle.","4"
"HolaQuiero hacer énfasis del mal servicio que viví con mi familia el día 19de julio, Compramos Viaje redondo en las estaciones de taquilla por tarjeta en puerto Juárez Cancún, 3 adultos y 1 menor, en Cancún nos atendieron muy bien, subimos al barco y todo muy bien, de regreso el personal de isla no trato. Mal, diciendo que el boleto del menor no era válido, que tenía que pagar como adulto, no gritó nos nos quería escanear nuestro ticket aún sabiendo que ya habíamos tomado el ultramar de Cancún viaje redondo, nos trató mal, pagamos el boleto del menor como adulto y aún así no nos querían escanear nuestro ticket, nos querían cobrar 300 aún sabiendo que ya habíamos pagado el viaje redondo el niño y que en la primer embarcación no nos dijeron algo malo, nos dijeron que no era prblema de ellos que la otra embarcación no tiene nada que ver con la de isla mujeres aún sabiendo que son de la misma empresa ultramar, un policía nos apoyó el cual le agradecemos, agregó foto del chico que nos trató muy mal. HolaQuiero hacer énfasis del mal servicio que viví con mi familia el día 19de julio, Compramos Viaje redondo en las estaciones de taquilla por tarjeta en puerto Juárez Cancún, 3 adultos y 1 menor, en Cancún nos atendieron muy bien, subimos al barco y todo muy bien, de regreso el personal de isla no trato. Mal, diciendo que el boleto del menor no era válido, que tenía que pagar como adulto, no gritó nos nos quería escanear nuestro ticket aún sabiendo que ya habíamos tomado el ultramar de Cancún viaje redondo, nos trató mal, pagamos el boleto del menor como adulto y aún así no nos querían escanear nuestro ticket, nos querían cobrar 300 aún sabiendo que ya habíamos pagado el viaje redondo el niño y que en la primer embarcación no nos dijeron algo malo, nos dijeron que no era prblema de ellos que la otra embarcación no tiene nada que ver con la de isla mujeres aún sabiendo que son de la misma empresa ultramar, un policía nos apoyó el cual le agradecemos, agregó foto del chico que nos trató muy mal.","1"
"UltraMar Ferry - ¡Atención al cliente!. Tomé UltraMar desde Puerto Juárez a Isla Mujeres el viernes pasado y regresé ayer. Fue una experiencia maravillosa, especialmente mi viaje de regreso ayer por la mañana. Eso fue sólo porque era temprano en la mañana, había menos gente, y el cruce sentado en el techo al regresar fue absolutamente maravilloso. ¡Qué hermoso recuerdo será! UltraMar ha convertido esto en un arte y una ciencia. ¡Sigan con el gran trabajo!.","5"
"Pésimo servicio. Venden más billetes de los que deberían y no avisan que si el ferry se llena hay que esperar 2 horas de pie, no consiguen otro barco y no le dicen nada a la gente. No recomendaré este ferry a nadie.","1"
"Atraco en Ultramar. El viaje, normal. El precio, un robo comparado con Xcaret. Los niños pagan a partir de un año la friolera de 480 pesos la ida y vuelta. En Xcaret son gratis hasta 6 años. No volveremos a viajar con ellos.","2"
"Valorar otros ferrys. Muy mala atencion del personal, ya que no saben los horarios de salida.Te venden a los turistas como embarque prioritario y es mentira nos dejaron en tierra segun ellos porque estaba lleno, a 2 personas.El personal muy poco profesional y borde y muy mala organizacion para el embarque.NO volveria a viajar con ellos .","1"
"Vacaciones en Familia-. Excelente servicio, se viaja súper bien , por 32 USD ida y vuelta puedes cruzar a Isla Mujeres, tienes frecuencia horaria y eso te da libertad para viajar por tu cuenta y no depender de un tour cuando quieres conocer la isla por ti mismo.-.","5"
"Ferry rápido fácil y asequible!. Llegué antes de lo comprado y no fue un problema. Enseguida. Rápidamente consiguen que todo el mundo suba. Siéntate y ellos se van. Viaje rápido de Puerto Juárez a Isla Mujeres. La fila era un poco más larga en el camino de regreso, pero se mueve rápidamente. No tuvimos problemas y sin duda volvería a utilizar este ferry de nuevo. También creo que es el único ferry ofrecido.","5"
"Este lugar apesta!!!. ¡Esta gente apesta! Aparecer para el primer ferry con nuestro bebé. Estados en línea al comprar boletos que los bebés son gratis. Pero cuando llegamos al frente necesitan un boleto impreso. Pero no imprimirán un boleto a menos que compres uno. Solo otra estafa en Cancún. Nunca más vendré aquí. Cancún es una mierda. Mucho mejores lugares para ir en México que Cancún ¡La codicia corporativa ha arruinado este lugar!.","1"
"Servicio aterrador. La peor experiencia de la historia, nos vendieron billetes cuando sabían que no había espacio en el ferry. Llegaban más turistas después de nosotros y les vendían boletos también a pesar de que no nos permitían abordar a nosotros y a la gente que estaba delante de nosotros. El ferry estaba lleno hasta las branquias, solo de pie. Las entradas no eran reembolsables y el personal no se preocupaba y no estaba dispuesto a encontrar una solución. No terminamos yendo a Isla Mujeres sobre todo porque habíamos perdido toda confianza en la empresa y teníamos miedo de quedarnos en la isla sin camino a casa. No hay nadie con quien hablar.","1"
"Horarios poco fiables. No creas en el horario de una hora por trayecto entre Tortugas y Isla MujeresNo son confiables. Tienen un horario separado en el puerto real.","1"
"Excelente en todo. Increíble servicio y la señorita Vanessa es una increíble colaboradora de ustedes!!! Les doy 10 por la calidad humana y operativa que tienen.","5"
"HUYE, NO LOS USES!!!. ¡¡HUYAN!! Cinco de nosotros esperamos más de dos horas para subir al ferry, luego nos dijeron que se rompió y tuvimos que conducir al centro para tomar un barco diferente. No tuvimos tiempo de hacerlo, así que tratamos de recuperar nuestro dinero, pero se negaron. Ahora estoy disputando el cargo de $ 150 usd con Visa. ¡NO USE el ferry Ultramar!.","1"
"¡No confíes en Ultramar para llegar a tu destino!. Reservamos un viaje de regreso de Playa Caracoles a Isla Mujeres, el viaje de ida estaba bien, pero en el regreso nos vimos obligados a bajar del ferry en la primera parada y nos dijeron que el ferry no iba a nuestra parada. Culparon a las condiciones del mar, pero como ya habíamos cruzado la parte más difícil y el resto estaba a lo largo de la costa, esto obviamente no era cierto. Asumimos que como éramos solo 6 de nosotros sintieron que no valía la pena llevarnos. Tuvimos que pagar por un taxi de regreso a nuestros hoteles - Simplemente no les importaba! ¡Entiendo que no es la primera vez que esto sucede!.","2"
"¡No reserve esto a través de Trip Advisor!. No recomendamos reservar este ferry a través de trip advisor. A pesar de que aparecimos media hora antes de las 9: 00 a.m. ferry - la compañía de viajes no obtuvo confirmación de Trip Advisor o la compañía Ultra March Ferry no recibió confirmación de Trip Advisor ... a pesar de que no nos dejaron subir y perdimos una hora de nuestro tiempo en Isla Mujeres. Aunque ligeramente más barato en Trip Advisor - tuvimos que toser la carga ambiental en la terminal Ultra March de todos modos. En última instancia - Cero ahorros y mucho más molestias con la asistencia CERO de Trip Advisor cuando está en este aprieto. Reserva en la terminal de ferry!.","1"
"Excelente servicio. Excelente atención y aclaración de dudas que me surgieron, gracias a Jeferson muy amable y atento, conoce perfectamente esta empresa.","5"
"QUEJA. Llegamos muy temprano para poder cruzar temprano eran las 8.30 de la mañana , nos formamos para comprar los boletos ya que yo soy Cancunese y mi amiga turista.  Empezó a hacerse la cola muy larga porque solo había una sola cajera y esta estaba vendiendo paquetes para el parque  garrafón.  Si van a vender paquetes que lo hagan fuera del lugar en donde se compran los boletos.... varios le dijimos que no vendiera los boletos para garrafón, ese no es el objetivo de la oficina, o pongan un kiosco  fuera y vendan y promocionen lo que quieran pero no en la taquilla donde se venden los boletos .   Habemos personas que preferimos comprar de manera personal y no en la máquina.   La cola se hizo muy larga y la señorita seguía vendiendo paquetes de la isla.","1"
"Barco fresco, tiempos convenientes, personal mediocre y terrible atención al cliente. Barco fresco, tiempos de navegación convenientes. Un miembro del personal MUY grosero que literalmente me GRITÓ delante de todos ""bolsas en la parte de atrás"". ¿EH? No hay señales, no hay información y traté de contactar a esta compañía varias veces con una pregunta sobre cómo usar mi boleto y nunca me respondieron. No muy profesionalmente dirigido.","4"
