Titulo,Review,Calificacion,FechaEstadia,Ciudad,Atraccion,TituloReview,SentimientoPorCalificacion,SentimientoPorHF,SentimientoPorCardiff,SubjetividadConHF,TotalFrases,FrasesSubjetivas,FrasesObjetivas,TipoOpinion,EsMixta,PorcentajeSubjetivo,PorcentajeObjetivo,SubjetividadConFrases,SubjetividadConLLM
Noche diferente,"Speechless. I never thought I'd have such a pleasant time. For several hours, it envelops you in its charm. Spectacular tour thanks to Cezar, our guide. I say thank you, Cezar, on behalf of everyone who was there. Highly recommended.",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Noche diferente. Speechless. I never thought I'd have such a pleasant time. For several hours, it envelops you in its charm. Spectacular tour thanks to Cezar, our guide. I say thank you, Cezar, on behalf of everyone who was there. Highly recommended.",Positivo,Positivo,Positivo,Subjetivo,7,7,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
Fun and exciting,Transportation was organized.  Reception at the park was great with greetings by professionals.  The shops were presented well and employees were friendly.  The boat ride was excellent and the captain and guide made it a lot of fun.  The tour was an exciting experience!  Thank you,5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,Fun and exciting. Transportation was organized.  Reception at the park was great with greetings by professionals.  The shops were presented well and employees were friendly.  The boat ride was excellent and the captain and guide made it a lot of fun.  The tour was an exciting experience!  Thank you.,Positivo,Positivo,Positivo,Subjetivo,7,5,2,Mixta,True,71.42857142857143,28.57142857142857,Mixta,Mixta
Increíble,"Ninguno, me encantó toda la experiencias fue increíble cada unos de las paradas así como su comida  . 10 de 10 . Me gustó y volvería a venir",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Increíble. Ninguno, me encantó toda la experiencias fue increíble cada unos de las paradas así como su comida  . 10 de 10 . Me gustó y volvería a venir.",Positivo,Positivo,Positivo,Subjetivo,5,4,1,Mixta,True,80.0,20.0,Mixta,Subjetiva
Great fun in Cancun,"This is a fabulous show, high energy and great way to have fun in a safe environment.  Our tour guide Ricardo Romero and his team were very engaging, fun to be with and made the whole evening memorable!  I would definitely go back!",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Great fun in Cancun. This is a fabulous show, high energy and great way to have fun in a safe environment.  Our tour guide Ricardo Romero and his team were very engaging, fun to be with and made the whole evening memorable!  I would definitely go back!.",Positivo,Positivo,Positivo,Subjetivo,4,4,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Xochimilco excelente experiencia,"Joss y Roberto dieron muy buen servicio y ambiente, mucho baile, comida y bebida precisa y la experiencia excelente. Sin duda regresamos.",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Xochimilco excelente experiencia. Joss y Roberto dieron muy buen servicio y ambiente, mucho baile, comida y bebida precisa y la experiencia excelente. Sin duda regresamos.",Positivo,Positivo,Positivo,Subjetivo,4,3,1,Mixta,True,75.0,25.0,Mixta,Mixta
Xoximilco increible experiencia,"Fue una experiencia maravillosa el ambiente de fiesta en las trajineras fue espectacular, no te olvides de contratar el paquete de fotos porque al final si no lo hiciste te vas a arrepentir de no haber guardado esos momentos increibles",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Xoximilco increible experiencia. Fue una experiencia maravillosa el ambiente de fiesta en las trajineras fue espectacular, no te olvides de contratar el paquete de fotos porque al final si no lo hiciste te vas a arrepentir de no haber guardado esos momentos increibles.",Positivo,Positivo,Positivo,Subjetivo,4,4,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Xochimilco tiene el mejor ambiente de fiesta!!,"Fui con mis amigos a celebrar mi cumpleaños y todo estuvo excelente, Paula y Lulú, nos ayudaron al check in con nuestro registro, superaron nuestras expectativas con la gran asistencia que nos ofrecieron, al subir a la trajinera sexy Anthony fue súper divertido junto con el capitán Adeián, los platillos típicos mexicanos y la música hacen que el show sea muy original. Sin duda repetiremos.",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Xochimilco tiene el mejor ambiente de fiesta!!. Fui con mis amigos a celebrar mi cumpleaños y todo estuvo excelente, Paula y Lulú, nos ayudaron al check in con nuestro registro, superaron nuestras expectativas con la gran asistencia que nos ofrecieron, al subir a la trajinera sexy Anthony fue súper divertido junto con el capitán Adeián, los platillos típicos mexicanos y la música hacen que el show sea muy original. Sin duda repetiremos.",Positivo,Positivo,Positivo,Subjetivo,4,4,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Recomendado,"Visitamos este lugar para celebrar el cumpleaños de una amiga y todo estuvo increíble, todos nos divertimos. El servicio de Adrián y sexy Tony fue muy destacado.",5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Recomendado. Visitamos este lugar para celebrar el cumpleaños de una amiga y todo estuvo increíble, todos nos divertimos. El servicio de Adrián y sexy Tony fue muy destacado.",Positivo,Positivo,Positivo,Subjetivo,3,2,1,Mixta,True,66.66666666666666,33.33333333333333,Mixta,Mixta
Xoximilco Experience,We had the pleasure of meeting Geo and Herasmo during our experience to Xoximilco. Los recomiendo al 100. Muchas gracias por todo chicos!!! El lugar espectacular y laExperiencia es una de las mejores que hemos tenido durante nuestra visita en Cancun! Volveremos pronto 🥰,5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,Xoximilco Experience. We had the pleasure of meeting Geo and Herasmo during our experience to Xoximilco. Los recomiendo al 100. Muchas gracias por todo chicos!!! El lugar espectacular y laExperiencia es una de las mejores que hemos tenido durante nuestra visita en Cancun! Volveremos pronto 🥰.,Positivo,Positivo,Positivo,Subjetivo,6,5,1,Mixta,True,83.33333333333334,16.666666666666664,Mixta,Mixta
Genial.,¡Lo mejor que he pasado en mucho tiempo! Definitivamente volviendo. Voy a contar a amigos y familiares sobre mi experiencia aquí. No puedo esperar a volver,5,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,Genial. ¡Lo mejor que he pasado en mucho tiempo! Definitivamente volviendo. Voy a contar a amigos y familiares sobre mi experiencia aquí. No puedo esperar a volver.,Positivo,Positivo,Positivo,Subjetivo,5,4,1,Mixta,True,80.0,20.0,Mixta,Subjetiva
